kód obce,obec,platné hlasy,voliči v seznamu,vydané obálky,-,ANO 2011,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Dobrá volba 2016,Dělnic.str.sociální spravedl.,Komunistická str.Čech a Moravy,Křesť.demokr.unie-Čs.str.lid.,Občanská demokratická aliance,Občanská demokratická strana,REALISTÉ,"ROZUMNÍ-stop migraci,diktát.EU",Radostné Česko,Referendum o Evropské unii,SPORTOVCI,SPR-Republ.str.Čsl. M.Sládka,STAROSTOVÉ A NEZÁVISLÍ,Strana Práv Občanů,Strana svobodných občanů,Strana zelených,Svob.a př.dem.-T.Okamura (SPD),TOP 09,Česká pirátská strana,Česká str.sociálně demokrat.,Česká strana národně sociální,Řád národa - Vlastenecká unie
506761,Alojzov,144,205,145,0,32,0,0,0,1,17,6,0,29,0,1,0,0,1,0,5,0,1,4,15,5,18,9,0,0
589268,Bedihošť,524,834,527,0,140,1,0,0,0,123,26,0,51,0,2,1,0,0,0,13,1,14,2,82,6,34,28,0,0
589276,Bílovice-Lutotín,275,431,279,0,83,0,0,0,1,40,22,0,13,0,0,0,0,0,0,8,0,4,1,38,3,30,32,0,0
589284,Biskupice,131,238,132,0,34,0,0,0,0,24,10,0,14,0,1,0,2,0,0,5,0,1,2,19,0,10,9,0,0
589292,Bohuslavice,236,376,236,0,53,0,0,1,0,22,39,1,20,0,4,0,0,3,1,3,0,6,3,36,4,17,23,0,0
589306,Bousín,67,107,67,0,10,0,0,0,0,14,9,0,5,0,2,0,0,0,0,3,0,0,0,11,2,7,4,0,0
589314,Brodek u Konice,460,695,460,0,144,0,0,0,0,47,60,0,25,0,4,0,1,1,0,20,2,5,3,72,5,38,32,1,0
589322,Brodek u Prostějova,655,1224,656,0,202,1,0,0,4,61,53,2,54,1,4,0,0,3,1,21,2,11,5,107,22,57,42,2,0
589331,Březsko,111,178,111,0,36,0,0,0,0,3,17,0,9,0,3,0,1,0,0,6,0,1,0,13,2,10,9,0,1
589349,Budětsko,206,331,208,0,58,0,0,0,0,22,32,0,6,1,3,0,1,2,1,6,2,2,1,35,3,7,24,0,0
